nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
40/250  Train Acc = 0.840000
50/250  Train Acc = 0.740000
60/250  Train Acc = 0.920000
70/250  Train Acc = 0.880000
80/250  Train Acc = 0.870000
90/250  Train Acc = 0.910000
100/250  Train Acc = 0.880000
110/250  Train Acc = 0.910000
120/250  Train Acc = 0.900000
130/250  Train Acc = 0.880000
140/250  Train Acc = 0.880000
150/250  Train Acc = 0.880000
160/250  Train Acc = 0.870000
170/250  Train Acc = 0.900000
180/250  Train Acc = 0.900000
190/250  Train Acc = 0.970000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.910000
220/250  Train Acc = 0.860000
230/250  Train Acc = 0.880000
240/250  Train Acc = 0.930000
250/250  Train Acc = 0.930000
	Train cost = 0.261381,	Accuracy = 0.894080
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.840000
30/250  Test Acc = 0.880000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.900000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.860000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.870000
120/250  Test Acc = 0.930000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.950000
150/250  Test Acc = 0.900000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.880000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.890000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.900000
230/250  Test Acc = 0.930000
240/250  Test Acc = 0.830000
250/250  Test Acc = 0.870000
	Test cost = 0.259598,	Accuracy = 0.894600
Epoch = 3
10/250  Train Acc = 0.910000
20/250  Train Acc = 0.930000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.880000
50/250  Train Acc = 0.770000
60/250  Train Acc = 0.890000
70/250  Train Acc = 0.920000
80/250  Train Acc = 0.890000
90/250  Train Acc = 0.940000
100/250  Train Acc = 0.890000
110/250  Train Acc = 0.930000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.930000
140/250  Train Acc = 0.910000
150/250  Train Acc = 0.920000
160/250  Train Acc = 0.890000
170/250  Train Acc = 0.900000
180/250  Train Acc = 0.890000
190/250  Train Acc = 0.970000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.920000
220/250  Train Acc = 0.850000
230/250  Train Acc = 0.910000
240/250  Train Acc = 0.910000
250/250  Train Acc = 0.930000
	Train cost = 0.231224,	Accuracy = 0.907560
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.830000
30/250  Test Acc = 0.900000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.910000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.850000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.860000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.910000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.930000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.880000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.930000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.920000
210/250  Test Acc = 0.940000
220/250  Test Acc = 0.920000
230/250  Test Acc = 0.950000
240/250  Test Acc = 0.840000
250/250  Test Acc = 0.880000
	Test cost = 0.259873,	Accuracy = 0.895040
Epoch = 4
10/250  Train Acc = 0.950000
20/250  Train Acc = 0.960000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.910000
50/250  Train Acc = 0.740000
60/250  Train Acc = 0.890000
70/250  Train Acc = 0.920000
80/250  Train Acc = 0.910000
90/250  Train Acc = 0.960000
100/250  Train Acc = 0.910000
110/250  Train Acc = 0.940000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.940000
140/250  Train Acc = 0.930000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.900000
170/250  Train Acc = 0.910000
180/250  Train Acc = 0.920000
190/250  Train Acc = 0.970000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.950000
220/250  Train Acc = 0.880000
230/250  Train Acc = 0.950000
240/250  Train Acc = 0.890000
250/250  Train Acc = 0.940000
	Train cost = 0.202728,	Accuracy = 0.919160
10/250  Test Acc = 0.870000
20/250  Test Acc = 0.850000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.900000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.910000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.870000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.850000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.920000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.940000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.870000
180/250  Test Acc = 0.910000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.950000
220/250  Test Acc = 0.920000
230/250  Test Acc = 0.960000
240/250  Test Acc = 0.850000
250/250  Test Acc = 0.880000
	Test cost = 0.268810,	Accuracy = 0.894360
Epoch = 5
10/250  Train Acc = 0.950000
20/250  Train Acc = 0.960000
30/250  Train Acc = 0.950000
40/250  Train Acc = 0.930000
50/250  Train Acc = 0.760000
60/250  Train Acc = 0.930000
70/250  Train Acc = 0.900000
80/250  Train Acc = 0.920000
90/250  Train Acc = 0.970000
100/250  Train Acc = 0.930000
110/250  Train Acc = 0.960000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.950000
140/250  Train Acc = 0.940000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.920000
170/250  Train Acc = 0.910000
180/250  Train Acc = 0.950000
190/250  Train Acc = 0.970000
200/250  Train Acc = 0.950000
210/250  Train Acc = 0.960000
220/250  Train Acc = 0.890000
230/250  Train Acc = 0.970000
240/250  Train Acc = 0.930000
250/250  Train Acc = 0.960000
	Train cost = 0.169512,	Accuracy = 0.934360
10/250  Test Acc = 0.870000
20/250  Test Acc = 0.830000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.880000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.930000
70/250  Test Acc = 0.940000
80/250  Test Acc = 0.880000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.890000
110/250  Test Acc = 0.920000
120/250  Test Acc = 0.910000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.920000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.860000
180/250  Test Acc = 0.920000
190/250  Test Acc = 0.930000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.960000
220/250  Test Acc = 0.930000
230/250  Test Acc = 0.960000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.870000
	Test cost = 0.292116,	Accuracy = 0.894280
Epoch = 6
10/250  Train Acc = 0.950000
20/250  Train Acc = 0.970000
30/250  Train Acc = 0.970000
40/250  Train Acc = 0.940000
50/250  Train Acc = 0.800000
60/250  Train Acc = 0.940000
70/250  Train Acc = 0.890000
80/250  Train Acc = 0.920000
90/250  Train Acc = 0.970000
100/250  Train Acc = 0.950000
110/250  Train Acc = 0.960000
120/250  Train Acc = 0.970000
130/250  Train Acc = 0.980000
140/250  Train Acc = 0.950000
150/250  Train Acc = 0.940000
160/250  Train Acc = 0.940000
170/250  Train Acc = 0.990000
180/250  Train Acc = 0.970000
190/250  Train Acc = 0.990000
200/250  Train Acc = 0.970000
210/250  Train Acc = 0.980000
220/250  Train Acc = 0.940000
230/250  Train Acc = 0.970000
240/250  Train Acc = 0.950000
250/250  Train Acc = 0.970000
	Train cost = 0.135292,	Accuracy = 0.948840
10/250  Test Acc = 0.870000
20/250  Test Acc = 0.850000
30/250  Test Acc = 0.870000
40/250  Test Acc = 0.900000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.920000
70/250  Test Acc = 0.920000
80/250  Test Acc = 0.870000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.920000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.910000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.860000
180/250  Test Acc = 0.910000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.890000
210/250  Test Acc = 0.940000
220/250  Test Acc = 0.940000
230/250  Test Acc = 0.960000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.930000
	Test cost = 0.338124,	Accuracy = 0.893200
Best Epoch = 3, Best MAE/ACC in Test = 0.895040
Written to results/ours_drop_0.0_lamb_0.0_hid_512.txt
