nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
40/250  Train Acc = 0.800000
50/250  Train Acc = 0.920000
60/250  Train Acc = 0.880000
70/250  Train Acc = 0.860000
80/250  Train Acc = 0.890000
90/250  Train Acc = 0.920000
100/250  Train Acc = 0.910000
110/250  Train Acc = 0.900000
120/250  Train Acc = 0.870000
130/250  Train Acc = 0.880000
140/250  Train Acc = 0.920000
150/250  Train Acc = 0.890000
160/250  Train Acc = 0.940000
170/250  Train Acc = 0.900000
180/250  Train Acc = 0.930000
190/250  Train Acc = 0.850000
200/250  Train Acc = 0.900000
210/250  Train Acc = 0.880000
220/250  Train Acc = 0.940000
230/250  Train Acc = 0.870000
240/250  Train Acc = 0.900000
250/250  Train Acc = 0.880000
	Train cost = 0.255637,	Accuracy = 0.898000
10/250  Test Acc = 0.890000
20/250  Test Acc = 0.920000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.920000
50/250  Test Acc = 0.900000
60/250  Test Acc = 0.930000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.920000
120/250  Test Acc = 0.880000
130/250  Test Acc = 0.910000
140/250  Test Acc = 0.950000
150/250  Test Acc = 0.910000
160/250  Test Acc = 0.890000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.890000
190/250  Test Acc = 0.950000
200/250  Test Acc = 0.930000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.840000
230/250  Test Acc = 0.890000
240/250  Test Acc = 0.900000
250/250  Test Acc = 0.860000
	Test cost = 0.257075,	Accuracy = 0.897600
Epoch = 3
10/250  Train Acc = 0.870000
20/250  Train Acc = 0.910000
30/250  Train Acc = 0.920000
40/250  Train Acc = 0.830000
50/250  Train Acc = 0.950000
60/250  Train Acc = 0.900000
70/250  Train Acc = 0.880000
80/250  Train Acc = 0.900000
90/250  Train Acc = 0.920000
100/250  Train Acc = 0.920000
110/250  Train Acc = 0.930000
120/250  Train Acc = 0.910000
130/250  Train Acc = 0.890000
140/250  Train Acc = 0.940000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.950000
170/250  Train Acc = 0.910000
180/250  Train Acc = 0.930000
190/250  Train Acc = 0.830000
200/250  Train Acc = 0.890000
210/250  Train Acc = 0.930000
220/250  Train Acc = 0.940000
230/250  Train Acc = 0.860000
240/250  Train Acc = 0.930000
250/250  Train Acc = 0.870000
	Train cost = 0.227423,	Accuracy = 0.909560
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.920000
30/250  Test Acc = 0.920000
40/250  Test Acc = 0.910000
50/250  Test Acc = 0.900000
60/250  Test Acc = 0.910000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.920000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.890000
110/250  Test Acc = 0.920000
120/250  Test Acc = 0.890000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.960000
150/250  Test Acc = 0.910000
160/250  Test Acc = 0.910000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.890000
190/250  Test Acc = 0.950000
200/250  Test Acc = 0.950000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.840000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.910000
250/250  Test Acc = 0.870000
	Test cost = 0.254599,	Accuracy = 0.899000
Epoch = 4
10/250  Train Acc = 0.880000
20/250  Train Acc = 0.910000
30/250  Train Acc = 0.920000
40/250  Train Acc = 0.870000
50/250  Train Acc = 0.960000
60/250  Train Acc = 0.920000
70/250  Train Acc = 0.910000
80/250  Train Acc = 0.900000
90/250  Train Acc = 0.940000
100/250  Train Acc = 0.950000
110/250  Train Acc = 0.930000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.920000
140/250  Train Acc = 0.930000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.960000
170/250  Train Acc = 0.940000
180/250  Train Acc = 0.960000
190/250  Train Acc = 0.900000
200/250  Train Acc = 0.900000
210/250  Train Acc = 0.940000
220/250  Train Acc = 0.950000
230/250  Train Acc = 0.900000
240/250  Train Acc = 0.930000
250/250  Train Acc = 0.880000
	Train cost = 0.199029,	Accuracy = 0.922360
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.930000
40/250  Test Acc = 0.910000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.910000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.900000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.890000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.970000
150/250  Test Acc = 0.890000
160/250  Test Acc = 0.890000
170/250  Test Acc = 0.880000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.840000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.900000
250/250  Test Acc = 0.900000
	Test cost = 0.266166,	Accuracy = 0.897160
Epoch = 5
10/250  Train Acc = 0.910000
20/250  Train Acc = 0.930000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.870000
50/250  Train Acc = 0.990000
60/250  Train Acc = 0.950000
70/250  Train Acc = 0.940000
80/250  Train Acc = 0.920000
90/250  Train Acc = 0.960000
100/250  Train Acc = 0.990000
110/250  Train Acc = 0.950000
120/250  Train Acc = 0.960000
130/250  Train Acc = 0.920000
140/250  Train Acc = 0.960000
150/250  Train Acc = 0.970000
160/250  Train Acc = 0.970000
170/250  Train Acc = 0.960000
180/250  Train Acc = 0.970000
190/250  Train Acc = 0.890000
200/250  Train Acc = 0.920000
210/250  Train Acc = 0.950000
220/250  Train Acc = 0.950000
230/250  Train Acc = 0.930000
240/250  Train Acc = 0.960000
250/250  Train Acc = 0.940000
	Train cost = 0.167652,	Accuracy = 0.938640
10/250  Test Acc = 0.900000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.920000
40/250  Test Acc = 0.930000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.830000
100/250  Test Acc = 0.900000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.880000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.960000
150/250  Test Acc = 0.890000
160/250  Test Acc = 0.880000
170/250  Test Acc = 0.880000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.930000
200/250  Test Acc = 0.880000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.830000
230/250  Test Acc = 0.850000
240/250  Test Acc = 0.890000
250/250  Test Acc = 0.870000
	Test cost = 0.298986,	Accuracy = 0.891640
Epoch = 6
10/250  Train Acc = 0.930000
20/250  Train Acc = 0.960000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.910000
50/250  Train Acc = 0.990000
60/250  Train Acc = 0.950000
70/250  Train Acc = 0.950000
80/250  Train Acc = 0.940000
90/250  Train Acc = 0.970000
100/250  Train Acc = 0.970000
110/250  Train Acc = 0.960000
120/250  Train Acc = 0.970000
130/250  Train Acc = 0.930000
140/250  Train Acc = 0.960000
150/250  Train Acc = 0.970000
160/250  Train Acc = 1.000000
170/250  Train Acc = 0.950000
180/250  Train Acc = 0.980000
190/250  Train Acc = 0.920000
200/250  Train Acc = 0.950000
210/250  Train Acc = 0.960000
220/250  Train Acc = 0.960000
230/250  Train Acc = 0.960000
240/250  Train Acc = 0.980000
250/250  Train Acc = 0.960000
	Train cost = 0.132198,	Accuracy = 0.951480
10/250  Test Acc = 0.900000
20/250  Test Acc = 0.870000
30/250  Test Acc = 0.930000
40/250  Test Acc = 0.920000
50/250  Test Acc = 0.910000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.880000
80/250  Test Acc = 0.900000
90/250  Test Acc = 0.820000
100/250  Test Acc = 0.900000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.860000
130/250  Test Acc = 0.850000
140/250  Test Acc = 0.950000
150/250  Test Acc = 0.900000
160/250  Test Acc = 0.880000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.930000
200/250  Test Acc = 0.880000
210/250  Test Acc = 0.810000
220/250  Test Acc = 0.850000
230/250  Test Acc = 0.870000
240/250  Test Acc = 0.910000
250/250  Test Acc = 0.910000
	Test cost = 0.345302,	Accuracy = 0.887200
Best Epoch = 3, Best MAE/ACC in Test = 0.899000
Written to results/ours_drop_0.0_lamb_0.0_hid_512.txt
